Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jason Berthomier,fr FRA,MF,Clermont Foot,32,1990,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Bilal Touré,ml MLI,FW,Reims,20,2001,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.09,0.03,0.09
Jean-Claude Billong,cm CMR,MF,Clermont Foot,28,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Veljko Birmančević,rs SRB,FW MF,Toulouse,24,1998,25,2,444,04.sept,0,0,0,0,0,0,0,0,01.mars,01.mars,0.2,01.mai,21,16,50,0.00,0.00,0.00,0.00,0.00,0.27,0.05,0.31,0.27,0.31
Marco Bizot,nl NED,GK,Brest,31,1991,37,37,3 33,37.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rubén Blanco,es ESP,GK,Marseille,27,1995,6,6,495,05.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ludovic Blas,fr FRA,MF FW,Nantes,24,1997,37,30,2 813,31.mars,7,5,12,5,2,4,6,0,09.mars,06.avr,05.août,12.janv,122,147,248,0.22,0.16,0.38,0.16,0.32,0.30,0.18,0.48,0.20,0.39
Miha Blažič,si SVN,DF,Angers,29,1993,24,22,1 979,22.0,2,0,2,2,0,0,4,0,01.juin,01.juin,0.1,01.juin,0,64,0,0.09,0.00,0.09,0.09,0.09,0.07,0.00,0.07,0.07,0.07
Joaquín Blázquez,ar ARG,GK,Brest,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myron Boadu,nl NED,FW,Monaco,21,2001,12,3,295,03.mars,3,0,3,3,0,0,0,0,02.juin,02.juin,0.3,02.sept,5,3,21,0.92,0.00,0.92,0.92,0.92,0.79,0.09,0.88,0.79,0.88
Jérôme Boateng,de GER,DF,Lyon,33,1988,8,6,428,04.août,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Antonin Bobichon,fr FRA,MF,Angers,26,1995,3,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,8,0.00,0.00,0.00,0.00,0.00,0.28,01.janv,janv.30,0.28,janv.30
Quentin Boisgard,fr FRA,MF,Lorient,25,1997,5,1,184,2.0,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,7,11,15,0.49,0.00,0.49,0.49,0.49,0.19,0.05,0.25,0.19,0.25
