Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Ouasim Bouy,nl NED,DF MF,Palermo,23,1993,2,0,40,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cesare Bovo,it ITA,DF,Torino,33,1983,4,4,360,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Cesare Bovo,it ITA,DF,Pescara,33,1983,10,9,819,09.janv,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Lucas Boyé,ar ARG,FW,Torino,20,1996,30,14,1458,16.févr,0,3,3,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19
Marcelo Brozović,hr CRO,MF,Inter,23,1992,23,20,1737,19.mars,4,2,6,4,0,0,7,0,0.21,0.10,0.31,0.21,0.31
Gastón Brugman,uy URU,FW MF,Pescara,23,1992,27,22,1931,21.mai,1,1,2,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09
Alessandro Bruno,it ITA,MF,Pescara,33,1983,15,10,974,10.août,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Marcel Büchel,li LIE,MF,Empoli,25,1991,15,10,818,09.janv,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Ante Budimir,hr CRO,FW,Sampdoria,25,1991,11,2,313,03.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gianluigi Buffon,it ITA,GK,Juventus,38,1978,30,30,2655,29.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nicolás Burdisso,ar ARG,DF,Genoa,35,1981,35,35,3126,34.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00
Bryan Cabezas,ec ECU,MF,Atalanta,19,1997,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rafael Cabral,br BRA,GK,Napoli,26,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fabrizio Cacciatore,it ITA,DF,Chievo,29,1986,29,29,2507,27.sept,1,2,3,1,0,0,7,1,0.04,0.07,0.11,0.04,0.11
Davide Calabria,it ITA,DF MF,Milan,19,1996,12,11,987,11.0,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09
Mattia Caldara,it ITA,DF,Atalanta,22,1994,30,30,2655,29.mai,7,0,7,7,0,0,4,0,0.24,0.00,0.24,0.24,0.24
José Callejón,es ESP,FW MF,Napoli,29,1987,37,37,3139,34.9,14,13,27,14,0,0,3,1,0.40,0.37,0.77,0.40,0.77
Hugo Campagnaro,ar ARG,DF,Pescara,36,1980,19,18,1564,17.avr,2,0,2,2,0,0,8,0,0.12,0.00,0.12,0.12,0.12
Antonio Candreva,it ITA,DF FW,Inter,29,1987,38,36,3007,33.4,6,10,16,6,0,1,2,0,0.18,0.30,0.48,0.18,0.48
Paolo Cannavaro,it ITA,DF,Sassuolo,35,1981,18,16,1425,15.août,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06
Leonardo Capezzi,it ITA,MF,Crotone,21,1995,25,18,1637,18.févr,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00
Gianluca Caprari,it ITA,FW MF,Pescara,23,1993,35,34,3108,34.5,9,4,13,8,1,2,8,0,0.26,0.12,0.38,0.23,0.35
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Marco Capuano,it ITA,DF,Cagliari,24,1991,12,8,771,08.juin,1,0,1,1,0,0,2,1,0.12,0.00,0.12,0.12,0.12
Carlão,br BRA,DF MF,Torino,30,1986,4,4,334,03.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
