,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Medon Berisha,al ALB,FW MF,Lecce,19,2003,6,2,205,02.mars,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18
Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,32,26,2307,25.juin,0,3,3,0,0,0,4,0,0.3,0.3,02.avr,02.juin,23,123,74,0.00,0.12,0.12,0.00,0.12,0.01,0.09,0.10,0.01,0.10
Beto,gw GNB,FW,Udinese,25,1998,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32
Davide Bettella,it ITA,MF,Monza,23,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sam Beukema,nl NED,DF,Bologna,24,1998,30,29,2547,28.mars,1,1,2,1,0,0,6,1,01.sept,01.sept,0.8,02.juil,14,76,5,0.04,0.04,0.07,0.04,0.07,0.07,0.03,0.10,0.07,0.10
Jaka Bijol,si SVN,DF,Udinese,24,1999,24,23,2084,23.févr,0,0,0,0,0,0,4,0,01.sept,01.sept,0.2,02.janv,5,42,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
El Bilal Touré,ml MLI,FW,Atalanta,21,2001,11,3,394,04.avr,2,0,2,2,0,0,2,0,01.févr,01.févr,0.8,2.0,16,11,39,0.46,0.00,0.46,0.46,0.46,0.28,0.18,0.46,0.28,0.46
Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,29,27,2356,26.févr,2,5,7,2,0,1,8,0,01.juin,0.8,03.juin,04.avr,55,129,109,0.08,0.19,0.27,0.08,0.27,0.06,0.14,0.20,0.03,0.17
Davide Biraschi,it ITA,DF,Genoa,29,1994,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,5,4,1.00,0.00,1.00,1.00,1.00,0.10,0.00,0.10,0.10,0.10
Samuele Birindelli,it ITA,DF,Monza,24,1999,35,22,2013,22.avr,0,2,2,0,0,0,7,0,01.janv,01.janv,02.sept,4.0,63,70,122,0.00,0.09,0.09,0.00,0.09,0.05,0.13,0.18,0.05,0.18
Alexis Blin,fr FRA,MF,Lecce,26,1996,31,16,1642,18.févr,0,2,2,0,0,0,4,0,01.janv,01.janv,0.7,01.août,7,60,11,0.00,0.11,0.11,0.00,0.11,0.06,0.04,0.10,0.06,0.10
Jérôme Boateng,de GER,DF,Salernitana,34,1988,7,4,238,02.juin,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Emil Bohinen,no NOR,MF,Genoa,24,1999,5,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Emil Bohinen,no NOR,MF,Salernitana,24,1999,12,7,535,05.sept,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,26,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,30,23,2022,22.mai,1,0,1,1,0,0,6,1,0.5,0.5,0.4,0.9,27,109,17,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,31,27,2277,25.mars,8,3,11,8,0,1,6,0,05.juil,04.avr,03.juin,8.0,60,140,107,0.32,0.12,0.43,0.32,0.43,0.22,0.14,0.36,0.18,0.32
Federico Bonazzoli,it ITA,FW MF,Hellas Verona,26,1997,24,10,1016,11.mars,3,1,4,3,0,0,2,0,02.sept,02.sept,01.janv,4.0,13,26,73,0.27,0.09,0.35,0.27,0.35,0.25,0.10,0.35,0.25,0.35
Warren Bondo,fr FRA,MF,Monza,19,2003,25,14,1475,16.avr,1,1,2,1,0,0,9,0,0.9,0.9,0.3,01.févr,31,43,13,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08
Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,2,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,6,3,309,03.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Erik Botheim,no NOR,FW MF,Salernitana,23,2000,7,4,316,03.mai,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,10,3,200,02.févr,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Edoardo Bove,it ITA,MF,Roma,21,2002,31,18,178,19.août,0,2,2,0,0,0,2,0,2.0,2.0,0.7,02.juil,21,88,47,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.14,0.10,0.14
Domagoj Bradarić,hr CRO,DF,Salernitana,23,1999,34,30,2749,30.mai,0,3,3,0,0,0,5,0,0.8,0.8,01.août,02.juin,57,76,120,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08
Josip Brekalo,hr CRO,FW,Fiorentina,25,1998,11,8,652,07.févr,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14,25,69,0.14,0.00,0.14,0.14,0.14,0.06,0.04,0.10,0.06,0.10
Gleison Bremer,br BRA,DF,Juventus,26,1997,36,36,3233,35.9,3,0,3,3,0,0,9,0,01.avr,01.avr,0.4,01.sept,7,120,4,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
Brenner,br BRA,MF FW,Udinese,23,2000,8,2,189,02.janv,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,6,8,10,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.20,0.18,0.20
Marco Brescianini,it ITA,MF,Frosinone,23,2000,36,24,2321,25.août,4,2,6,4,0,0,1,0,02.mars,02.mars,01.juin,03.sept,46,70,100,0.16,0.08,0.23,0.16,0.23,0.09,0.06,0.15,0.09,0.15
Dylan Bronn,tn TUN,DF MF,Salernitana,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Tajon Buchanan,ca CAN,DF,Inter,24,1999,10,0,161,01.août,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,12,4,22,0.56,0.00,0.56,0.56,0.56,0.11,0.18,0.29,0.11,0.29
Alessandro Buongiorno,it ITA,DF,Torino,24,1999,29,29,2527,28.janv,3,0,3,3,0,0,7,0,01.juin,01.juin,0.1,01.juil,14,62,10,0.11,0.00,0.11,0.11,0.11,0.06,0.00,0.06,0.06,0.06
