Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Marco Fabián,mx MEX,FW MF,Eint Frankfurt,27,1989,24,23,2 054,22.août,7,4,11,6,1,2,10,0,0.31,0.18,0.48,0.26,0.44
Ralf Fährmann,de GER,GK,Schalke 04,27,1988,34,34,3 06,34.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Artem Fedetskyi,ua UKR,DF,Darmstadt 98,31,1985,16,13,1 11,12.mars,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Markus Feulner,de GER,MF,Augsburg,34,1982,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alfreð Finnbogason,is ISL,FW,Augsburg,27,1989,13,13,1 128,12.mai,3,1,4,3,0,0,1,1,0.24,0.08,0.32,0.24,0.32
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Jonas Föhrenbach,de GER,DF,Freiburg,20,1996,3,1,102,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Emil Forsberg,se SWE,FW MF,RB Leipzig,24,1991,30,27,2 338,26.0,8,18,26,7,1,2,1,1,0.31,0.69,1.00,0.27,0.96
Raphael Framberger,de GER,DF,Augsburg,20,1995,3,2,142,01.juin,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mike Frantz,de GER,FW MF,Freiburg,29,1986,30,29,2 495,27.juil,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04
Fabian Frei,ch SUI,DF MF,Mainz 05,27,1989,24,19,1 666,18.mai,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
Clemens Fritz,de GER,DF MF,Werder Bremen,35,1980,18,17,1 291,14.mars,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Lukas Fröde,de GER,DF MF,Werder Bremen,21,1995,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mijat Gaćinović,rs SRB,MF,Eint Frankfurt,21,1995,28,26,2 233,24.août,2,0,2,2,0,0,9,0,0.08,0.00,0.08,0.08,0.08
Santiago García,ar ARG,DF,Werder Bremen,28,1988,19,16,1 444,16.0,1,2,3,1,0,0,5,0,0.06,0.12,0.19,0.06,0.19
Ulisses Garcia,ch SUI,DF MF,Werder Bremen,20,1996,7,3,353,03.sept,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25
Jean-Philippe Gbamin,ci CIV,DF MF,Mainz 05,20,1995,25,21,1 823,20.mars,0,0,0,0,0,0,6,3,0.00,0.00,0.00,0.00,0.00
Theodor Gebre Selassie,cz CZE,DF MF,Werder Bremen,29,1986,30,26,2 342,26.0,5,2,7,5,0,0,4,0,0.19,0.08,0.27,0.19,0.27
Johannes Geis,de GER,DF MF,Schalke 04,22,1993,18,17,1 324,14.juil,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Yannick Gerhardt,de GER,DF MF,Wolfsburg,22,1994,27,25,2 214,24.juin,0,2,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08
Matthias Ginter,de GER,DF MF,Dortmund,22,1994,29,26,2 476,27.mai,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04
Serge Gnabry,de GER,FW MF,Werder Bremen,21,1995,27,23,1 963,21.août,11,1,12,10,1,1,1,0,0.50,0.05,0.55,0.46,0.50
Mario Gómez,de GER,FW,Wolfsburg,31,1985,33,32,2 85,31.juil,16,1,17,14,2,2,4,0,0.51,0.03,0.54,0.44,0.47
Jérôme Gondorf,de GER,MF,Darmstadt 98,28,1988,29,29,2 546,28.mars,3,4,7,2,1,1,7,0,0.11,0.14,0.25,0.07,0.21
Leon Goretzka,de GER,MF,Schalke 04,21,1995,30,30,2 563,28.mai,5,3,8,5,0,0,2,0,0.18,0.11,0.28,0.18,0.28
Benjamin Gorka,de GER,DF,Darmstadt 98,32,1984,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ashton Götz,de GER,DF MF,Hamburger SV,23,1993,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mario Götze,de GER,FW MF,Dortmund,24,1992,11,9,760,08.avr,1,2,3,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,25,1991,18,18,1 548,17.févr,2,1,3,2,0,0,4,0,0.12,0.06,0.17,0.12,0.17
Michael Gregoritsch,at AUT,FW MF,Hamburger SV,22,1994,30,14,1 305,14.mai,5,1,6,5,0,0,4,0,0.34,0.07,0.41,0.34,0.41
Vincenzo Grifo,it ITA,FW MF,Freiburg,23,1993,30,27,2 492,27.juil,6,7,13,5,1,1,1,0,0.22,0.25,0.47,0.18,0.43
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Florian Grillitsch,at AUT,DF MF,Werder Bremen,20,1995,23,21,1 712,19.0,2,0,2,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11
Pascal Groß,de GER,DF FW,Ingolstadt 04,25,1991,33,31,2 72,30.2,5,3,8,2,3,3,5,0,0.17,0.10,0.26,0.07,0.17
Karim Guédé,sk SVK,MF,Freiburg,31,1985,5,3,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Raphaël Guerreiro,pt POR,DF MF,Dortmund,22,1993,24,17,1 481,16.mai,6,4,10,6,0,0,0,0,0.36,0.24,0.61,0.36,0.61
Josuha Guilavogui,fr FRA,DF MF,Wolfsburg,25,1990,19,17,1 541,17.janv,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Serhou Guirassy,gn GUI,FW,Köln,20,1996,6,0,85,0.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Péter Gulácsi,hu HUN,GK,RB Leipzig,26,1990,33,33,2 97,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Manuel Gulde,de GER,DF,Freiburg,25,1991,20,19,1 684,18.juil,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Christian Günter,de GER,DF MF,Freiburg,23,1993,31,30,2 696,30.0,0,2,2,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07
Julian Günther-Schmidt,de GER,FW MF,Augsburg,21,1994,4,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luiz Gustavo,br BRA,DF MF,Wolfsburg,29,1987,27,26,2 344,26.0,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00
Leon Guwara,gm GAM,DF,Darmstadt 98,20,1996,17,11,1 103,12.mars,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Janik Haberer,de GER,FW MF,Freiburg,22,1994,32,22,1 952,21.juil,3,4,7,3,0,0,7,0,0.14,0.18,0.32,0.14,0.32
Alexander Hack,de GER,DF,Mainz 05,22,1993,15,13,1 296,14.avr,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07
Florent Hadergjonaj,xk KVX,DF MF,Ingolstadt 04,22,1994,25,25,2 221,24.juil,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12
André Hahn,de GER,FW MF,Gladbach,25,1990,30,18,1 602,17.août,3,1,4,3,0,1,3,0,0.17,0.06,0.22,0.17,0.22
