Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,1 208,13.avr,0,0,0,0,0,0,4,0,0.6,0.6,02.août,03.mars,42,105,80,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25
Todd Cantwell,eng ENG,FW MF,Norwich City,21,1998,37,30,2 489,27.juil,6,2,8,6,0,0,6,0,05.avr,05.avr,01.sept,07.mars,75,99,138,0.22,0.07,0.29,0.22,0.29,0.19,0.07,0.26,0.19,0.26
Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,2 627,29.2,0,3,3,0,0,0,8,0,0.8,0.8,03.mars,04.janv,16,132,23,0.00,0.10,0.10,0.00,0.10,0.03,0.11,0.14,0.03,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,7.0,0,4,4,0,0,0,1,0,01.févr,01.févr,01.avr,02.juin,4,17,34,0.00,0.57,0.57,0.00,0.57,0.17,0.20,0.37,0.17,0.37
Jonny Castro,es ESP,MF DF,Wolves,25,1994,35,33,2 887,32.1,2,2,4,2,0,0,4,0,01.juin,01.juin,01.mars,02.août,100,97,180,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09
Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,2 488,27.juin,0,0,0,0,0,0,7,0,0.2,0.2,0.1,0.3,2,61,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,1 692,18.août,0,2,2,0,0,0,1,0,0.6,0.6,01.août,02.mars,60,174,38,0.00,0.11,0.11,0.00,0.11,0.03,0.09,0.12,0.03,0.12
Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,10.mars,0,1,1,0,0,0,1,0,0.5,0.5,01.mars,01.juil,4,35,22,0.00,0.10,0.10,0.00,0.10,0.04,0.12,0.17,0.04,0.17
Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1 102,12.févr,1,1,2,1,0,0,5,0,0.8,0.8,01.juin,02.avr,16,45,67,0.08,0.08,0.16,0.08,0.16,0.06,0.13,0.20,0.06,0.20
