Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Étienne Capoue;fr FRA;MF;Watford;28;1988;37;37;3 203;35.6;7;1;8;7;0;0;5;0;0.20;0.03;0.22;0.20;0.22
Baily Cargill;eng ENG;DF;Bournemouth;21;1995;1;0;13;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Michael Carrick;eng ENG;MF;Manchester Utd;35;1981;23;18;1 6;17.août;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Andy Carroll;eng ENG;FW;West Ham;27;1989;18;15;1 311;14.juin;7;1;8;7;0;0;3;0;0.48;0.07;0.55;0.48;0.55
Tom Carroll;eng ENG;MF;Tottenham;24;1992;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Tom Carroll;eng ENG;MF;Swansea City;24;1992;17;16;1 387;15.avr;1;2;3;1;0;0;1;0;0.06;0.13;0.19;0.06;0.19
Joel Castro Pereira;pt POR;GK;Manchester Utd;20;1996;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Craig Cathcart;nir NIR;DF;Watford;27;1989;15;13;1 162;12.sept;0;1;1;0;0;0;3;0;0.00;0.08;0.08;0.00;0.08
Lee Cattermole;eng ENG;MF;Sunderland;28;1988;8;8;633;7.0;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00
Santi Cazorla;es ESP;MF;Arsenal;31;1984;8;7;618;06.sept;2;1;3;0;2;2;2;0;0.29;0.15;0.44;0.00;0.15
Petr Čech;cz CZE;GK;Arsenal;34;1982;35;35;3 097;34.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Nacer Chadli;be BEL;FW MF;West Brom;26;1989;31;27;2 134;23.juil;5;4;9;4;1;1;2;0;0.21;0.17;0.38;0.17;0.34
Nathaniel Chalobah;eng ENG;DF MF;Chelsea;21;1994;10;1;167;01.sept;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Calum Chambers;eng ENG;DF MF;Arsenal;21;1995;1;1;90;1.0;1;0;1;1;0;0;0;0;1.00;0.00;1.00;1.00;1.00
Calum Chambers;eng ENG;DF MF;Middlesbrough;21;1995;24;24;2 16;24.0;1;1;2;1;0;0;4;0;0.04;0.04;0.08;0.04;0.08
Ben Chilwell;eng ENG;DF MF;Leicester City;19;1996;12;7;699;07.août;1;0;1;1;0;0;2;0;0.13;0.00;0.13;0.13;0.13
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Lee Chung-yong;kr KOR;FW MF;Crystal Palace;28;1988;15;4;471;05.févr;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Jordy Clasie;nl NED;MF;Southampton;25;1991;16;12;1 021;11.mars;1;1;2;1;0;0;3;0;0.09;0.09;0.18;0.09;0.18
Adam Clayton;eng ENG;MF;Middlesbrough;27;1989;34;32;2 804;31.2;0;2;2;0;0;0;10;0;0.00;0.06;0.06;0.00;0.06
Tom Cleverley;eng ENG;MF;Watford;26;1989;17;16;1 441;16.0;0;2;2;0;0;0;3;0;0.00;0.12;0.12;0.00;0.12
Tom Cleverley;eng ENG;MF;Everton;26;1989;10;4;406;04.mai;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Gaël Clichy;fr FRA;DF;Manchester City;31;1985;25;24;2 123;23.juin;1;0;1;1;0;0;2;0;0.04;0.00;0.04;0.04;0.04
