Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Duda,pt POR,DF FW,Málaga,36,1980,16,2,389,04.mars,1,2,3,1,0,0,3,0,0.23,0.46,0.69,0.23,0.69
Riza Durmisi,dk DEN,DF,Betis,22,1994,27,27,2 385,26.mai,1,4,5,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19
Elderson Echiéjilé,ng NGA,DF,Sporting Gijón,28,1988,3,2,198,02.févr,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45
Aritz Elustondo,es ESP,DF,Real Sociedad,22,1994,9,4,462,05.janv,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Gorka Elustondo,es ESP,DF MF,Athletic Club,29,1987,2,1,106,01.févr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rodrigo Ely,br BRA,DF,Alavés,22,1993,10,8,789,08.août,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11
Youssef En-Nesyri,ma MAR,FW,Málaga,19,1997,13,0,336,03.juil,1,1,2,1,0,0,2,0,0.27,0.27,0.54,0.27,0.54
Sergi Enrich,es ESP,FW MF,Eibar,26,1990,38,31,2 827,31.4,11,7,18,11,0,0,4,0,0.35,0.22,0.57,0.35,0.57
Juanan Entrena,es ESP,MF,Granada,20,1996,3,1,103,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Eraso,es ESP,MF,Athletic Club,26,1990,7,4,379,04.févr,0,1,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24
Gonzalo Escalante,ar ARG,MF,Eibar,23,1993,30,24,2 016,22.avr,2,1,3,2,0,0,9,1,0.09,0.04,0.13,0.09,0.13
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Sergio Escudero,es ESP,DF MF,Sevilla,26,1989,26,25,2 282,25.avr,0,3,3,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12
Cristian Espinoza,ar ARG,FW MF,Alavés,21,1995,6,1,163,01.août,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pervis Estupiñán,ec ECU,DF MF,Granada,18,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Beñat Etxebarria,es ESP,MF,Athletic Club,29,1987,32,28,2 399,26.juil,1,5,6,1,0,0,9,0,0.04,0.19,0.23,0.04,0.23
Xabier Etxeita,es ESP,DF,Athletic Club,28,1987,10,7,713,07.sept,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Edu Expósito,es ESP,MF,La Coruña,19,1996,1,1,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Erik Expósito,es ESP,FW,Las Palmas,20,1996,2,2,166,01.août,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fayçal Fajr,ma MAR,MF,La Coruña,27,1988,24,14,1 207,13.avr,0,2,2,0,0,1,3,1,0.00,0.15,0.15,0.00,0.15
Zouhair Feddal,ma MAR,DF MF,Alavés,27,1989,27,27,2 242,24.sept,2,1,3,2,0,0,8,2,0.08,0.04,0.12,0.08,0.12
Kiko Femenía,es ESP,DF FW,Alavés,25,1991,31,28,2 5,27.août,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07
Álvaro Fernández,es ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Andrés Fernández,es ESP,GK,Villarreal,29,1986,15,14,1 316,14.juin,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Augusto Fernández,ar ARG,MF,Atlético Madrid,30,1986,3,2,141,01.juin,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlos Fernández,es ESP,FW,Sevilla,20,1996,3,1,89,1.0,1,0,1,1,0,0,0,0,01.janv,0.00,01.janv,01.janv,01.janv
Mario Fernández,es ESP,GK,Osasuna,28,1988,7,7,585,06.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Pablo Fernández,es ESP,MF,Sporting Gijón,19,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Flaño,es ESP,DF,Osasuna,31,1984,4,2,131,01.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Miguel Flaño,es ESP,DF,Osasuna,31,1984,12,12,1 035,11.mai,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09
Andreu Fontàs,es ESP,DF,Celta Vigo,26,1989,17,17,1 46,16.févr,1,1,2,1,0,0,7,1,0.06,0.06,0.12,0.06,0.12
