Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Daniel Brosinski,de GER,DF FW,Mainz 05,32,1988,21,16,1 43,15.sept,2,1,3,0,2,2,0,0,2.0,0.4,02.sept,03.mars,21,64,66,0.13,0.06,0.19,0.00,0.06,0.12,0.18,0.31,0.02,0.21
Cédric Brunner,ch SUI,DF,Arminia,26,1994,31,30,2 655,29.mai,0,1,1,0,0,0,6,0,0.5,0.5,01.mars,01.août,28,87,41,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.06,0.02,0.06
Jacob Bruun Larsen,dk DEN,MF FW,Hoffenheim,21,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Marius Bülter,de GER,FW MF,Union Berlin,27,1993,26,8,977,10.sept,1,0,1,1,0,0,1,0,01.mai,01.mai,0.9,02.avr,24,17,71,0.09,0.00,0.09,0.09,0.09,0.14,0.08,0.22,0.14,0.22
Jonathan Burkardt,de GER,FW MF,Mainz 05,20,2000,29,16,1 373,15.mars,2,0,2,2,0,0,0,0,03.juil,03.juil,01.sept,05.juin,39,33,97,0.13,0.00,0.13,0.13,0.13,0.24,0.13,0.37,0.24,0.37
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Roman Bürki,ch SUI,GK,Dortmund,29,1990,19,18,1 665,18.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,4,4,296,03.mars,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,13,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Daniel Caligiuri,it ITA,MF FW,Augsburg,32,1988,33,31,2 665,29.juin,6,4,10,4,2,3,5,0,04.août,02.avr,04.juin,7.0,64,114,136,0.20,0.14,0.34,0.14,0.27,0.16,0.16,0.32,0.08,0.24
Emre Can,de GER,DF MF,Dortmund,26,1994,28,23,2 133,23.juil,1,4,5,1,0,0,5,0,1.0,1.0,02.sept,03.sept,53,133,32,0.04,0.17,0.21,0.04,0.21,0.04,0.12,0.17,0.04,0.17
Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32,32,2 88,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonzalo Castro,de GER,MF,Stuttgart,33,1987,26,23,1 729,19.févr,4,2,6,4,0,0,9,0,03.mars,03.mars,02.août,06.févr,55,119,108,0.21,0.10,0.31,0.21,0.31,0.17,0.15,0.32,0.17,0.32
Sava Cestic,rs SRB,DF,Köln,19,2001,11,11,899,10.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,3,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Timothy Chandler,us USA,DF,Eint Frankfurt,30,1990,15,3,432,04.août,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1.0,14,19,45,0.21,0.00,0.21,0.21,0.21,0.16,0.05,0.22,0.16,0.22
Kwon Chang-hoon,kr KOR,MF FW,Freiburg,26,1994,12,1,216,02.avr,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,6,24,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
Tahith Chong,cw CUW,MF FW,Werder Bremen,20,1999,13,4,386,04.mars,0,1,1,0,0,0,1,0,0.3,0.3,0.6,1.0,12,12,26,0.00,0.23,0.23,0.00,0.23,0.08,0.15,0.23,0.08,0.23
Darko Churlinov,mk MKD,DF MF,Stuttgart,20,2000,14,0,216,02.avr,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,10,6,23,0.00,0.42,0.42,0.00,0.42,0.05,0.30,0.34,0.05,0.34
Tim Civeja,al ALB,MF,Augsburg,18,2002,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
