,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ben Chilwell,eng ENG,DF,Leicester City,20,1996,24,20,1 853,20.juin,0,2,2,0,0,0,3,1,0.2,0.2,02.avr,02.juin,85,78,121,0.00,0.10,0.10,0.00,0.10,0.01,0.12,0.13,0.01,0.13
Hamza Choudhury,bd BAN,MF DF,Leicester City,19,1997,8,4,378,04.févr,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,2,16,1,0.00,0.24,0.24,0.00,0.24,0.01,0.09,0.10,0.01,0.10
Andreas Christensen,dk DEN,DF,Chelsea,21,1996,27,23,2 086,23.févr,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,22,76,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Lee Chung-yong,kr KOR,FW MF,Crystal Palace,29,1988,7,1,135,01.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,2,16,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,20,19,1 746,19.avr,2,1,3,2,0,0,3,0,01.juil,01.juil,0.7,02.mai,12,29,3,0.10,0.05,0.15,0.10,0.15,0.09,0.04,0.13,0.09,0.13
Tom Cleverley,eng ENG,MF,Watford,27,1989,23,22,1 901,21.janv,1,2,3,1,0,1,3,1,01.sept,01.janv,01.juin,02.juil,31,136,66,0.05,0.09,0.14,0.05,0.14,0.09,0.08,0.17,0.05,0.13
Sam Clucas,eng ENG,MF,Swansea City,26,1990,29,23,2 044,22.juil,3,1,4,3,0,0,2,0,02.juin,02.juin,01.mars,03.août,24,61,68,0.13,0.04,0.18,0.13,0.18,0.11,0.06,0.17,0.11,0.17
Nathaniel Clyne,eng ENG,DF FW,Liverpool,26,1991,3,2,174,01.sept,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,5,29,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.10,0.07,0.10
Séamus Coleman,ie IRL,DF,Everton,28,1988,12,12,1 035,11.mai,0,1,1,0,0,0,0,0,1.0,1.0,0.7,01.juil,34,44,44,0.00,0.09,0.09,0.00,0.09,0.09,0.06,0.15,0.09,0.15
James Collins,wls WAL,DF,West Ham,33,1983,13,12,1 05,11.juil,1,0,1,1,0,0,3,0,0.3,0.3,0.2,0.5,5,24,1,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Lewis Cook,eng ENG,MF,Bournemouth,20,1997,29,25,2 237,24.sept,0,2,2,0,0,0,5,0,0.5,0.5,01.juin,2.0,52,173,30,0.00,0.08,0.08,0.00,0.08,0.02,0.06,0.08,0.02,0.08
Steve Cook,eng ENG,DF,Bournemouth,26,1991,34,31,2 767,30.juil,2,1,3,2,0,0,5,0,01.juin,01.juin,1.0,02.juin,15,83,9,0.07,0.03,0.10,0.07,0.10,0.05,0.03,0.08,0.05,0.08
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Francis Coquelin,fr FRA,MF DF,Arsenal,26,1991,7,1,169,01.sept,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,1,11,1,0.00,0.00,0.00,0.00,0.00,0.03,0.35,0.38,0.03,0.38
Jack Cork,eng ENG,MF,Burnley,28,1989,38,38,3 42,38.0,2,1,3,2,0,0,7,0,02.févr,02.févr,01.janv,03.mars,39,165,41,0.05,0.03,0.08,0.05,0.08,0.06,0.03,0.09,0.06,0.09
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,3 15,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philippe Coutinho,br BRA,MF FW,Liverpool,25,1992,14,13,1 109,12.mars,7,6,13,7,0,0,0,0,03.mai,03.mai,04.juil,08.févr,69,145,94,0.57,0.49,01.juin,0.57,01.juin,0.28,0.38,0.67,0.28,0.67
