Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Álex Berenguer,es ESP,MF FW,Athletic Club,25,1995,35,27,2 278,25.mars,8,4,12,8,0,0,4,0,06.févr,06.févr,03.avr,09.juil,64,85,201,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38
Pedro Bigas,es ESP,DF,Eibar,29,1990,21,19,1 529,17.0,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,9,42,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Alejandro Blanco,es ESP,MF,Valencia,21,1998,13,6,580,06.avr,1,0,1,1,0,0,1,0,0.5,0.5,0.5,0.9,17,2,44,0.16,0.00,0.16,0.16,0.16,0.07,0.07,0.14,0.07,0.14
Antonio Blanco,es ESP,MF FW,Real Madrid,20,2000,4,2,220,02.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,18,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,19,19,1 637,18.févr,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alejandro Blesa,es ESP,MF,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yann Bodiger,fr FRA,MF,Cádiz,25,1995,9,2,251,02.août,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33,33,2 97,33.0,1,0,1,1,0,0,3,0,0.2,0.2,0.0,0.2,0,0,0,0.03,0.00,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01
Lucas Boyé,ar ARG,FW,Elche,24,1996,34,32,2 694,29.sept,7,2,9,7,0,0,9,1,05.févr,05.févr,01.janv,06.mars,43,54,117,0.23,0.07,0.30,0.23,0.30,0.17,0.04,0.21,0.17,0.21
Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,29,11,1 175,13.janv,2,2,4,2,0,1,3,0,05.avr,04.juin,02.mars,06.sept,20,15,91,0.15,0.15,0.31,0.15,0.31,0.41,0.18,0.59,0.35,0.53
Darko Brašanac,rs SRB,MF,Osasuna,28,1992,16,9,909,10.janv,2,0,2,2,0,0,4,0,0.9,0.9,0.1,01.janv,22,40,46,0.20,0.00,0.20,0.20,0.20,0.09,0.01,0.11,0.09,0.11
Álvaro Bravo,es ESP,MF,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Claudio Bravo,cl CHI,GK,Betis,37,1983,20,20,1 8,20.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Yan Brice Eteki,cm CMR,MF,Granada,22,1997,25,16,1 321,14.juil,0,0,0,0,0,0,4,1,0.3,0.3,0.1,0.4,0,24,9,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Juan Brunet,ar ARG,MF,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ante Budimir,hr CRO,FW,Osasuna,29,1991,30,18,1 625,18.janv,11,0,11,11,0,0,3,0,09.févr,09.févr,0.8,10.0,14,29,103,0.61,0.00,0.61,0.61,0.61,0.51,0.04,0.55,0.51,0.55
Esteban Burgos,ar ARG,DF,Eibar,28,1992,14,12,1 111,12.mars,3,1,4,1,2,3,5,0,03.mars,1.0,0.8,01.août,4,25,0,0.24,0.08,0.32,0.08,0.16,0.27,0.07,0.34,0.08,0.15
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Burgui,es ESP,MF,Alavés,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Busquets,es ESP,MF,Barcelona,32,1988,36,32,2 517,28.0,0,5,5,0,0,0,9,0,0.3,0.3,03.févr,03.avr,25,254,29,0.00,0.18,0.18,0.00,0.18,0.01,0.11,0.12,0.01,0.12
Erick Cabaco,uy URU,DF,Getafe,25,1995,20,15,1 326,14.juil,0,0,0,0,0,0,9,0,0.5,0.5,0.0,0.5,6,44,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Cala,es ESP,DF,Cádiz,30,1989,28,26,2 272,25.févr,3,0,3,3,0,0,8,0,01.sept,01.sept,0.2,02.janv,3,47,2,0.12,0.00,0.12,0.12,0.12,0.08,0.01,0.08,0.08,0.08
Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,25,20,1 544,17.févr,5,2,7,5,0,0,4,0,05.juil,05.mai,0.7,06.mars,20,31,97,0.29,0.12,0.41,0.29,0.41,0.33,0.04,0.38,0.32,0.37
Dani Calvo,es ESP,DF,Elche,26,1994,23,19,1 779,19.août,2,0,2,2,0,0,3,0,01.mars,01.mars,0.0,01.mars,2,31,2,0.10,0.00,0.10,0.10,0.10,0.06,0.00,0.06,0.06,0.06
José Campaña,es ESP,MF,Levante,27,1993,9,8,748,08.mars,1,2,3,0,1,1,0,0,01.mai,0.7,2.0,02.août,26,74,48,0.12,0.24,0.36,0.00,0.24,0.18,0.25,0.43,0.09,0.34
Sergio Canales,es ESP,MF FW,Betis,29,1991,31,28,2 498,27.août,8,6,14,6,2,3,4,0,05.mars,02.sept,06.août,09.juil,102,200,126,0.29,0.22,0.50,0.22,0.43,0.19,0.24,0.44,0.10,0.35
Álex Cantero,es ESP,FW,Levante,20,2000,4,3,237,02.juin,0,0,0,0,0,0,1,0,0.4,0.4,0.9,01.mars,5,4,13,0.00,0.00,0.00,0.00,0.00,0.17,0.33,0.50,0.17,0.50
Ander Capa,es ESP,DF,Athletic Club,28,1992,28,25,2 131,23.juil,2,1,3,2,0,0,5,0,01.janv,01.janv,01.janv,02.mars,66,80,100,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.10,0.05,0.10
Étienne Capoue,fr FRA,MF,Villarreal,32,1988,16,15,1 185,13.févr,1,0,1,1,0,0,5,1,0.3,0.3,0.1,0.5,10,58,4,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03
Isaac Carcelen,es ESP,DF,Cádiz,27,1993,32,31,2 581,28.juil,0,1,1,0,0,0,3,0,0.5,0.5,01.janv,01.juin,31,92,43,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.05,0.02,0.05
Dani Cárdenas,es ESP,GK,Levante,23,1997,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
