Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Pierrick Capelle,fr FRA,DF FW,Angers,29,1987,32,20,1 749,19.avr,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15
Yoan Cardinale,fr FRA,GK,Nice,22,1994,36,36,3 205,35.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Irvin Cardona,mt MLT,FW MF,Monaco,18,1997,3,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diego Carlos,br BRA,DF,Nantes,23,1993,34,34,2 949,32.8,2,1,3,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09
Cédric Carrasso,fr FRA,GK,Bordeaux,34,1981,24,24,2 16,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guido Carrillo,ar ARG,FW,Monaco,25,1991,19,5,598,06.juin,7,1,8,7,0,0,0,0,01.mai,0.15,janv.20,01.mai,janv.20
Ivan Cavaleiro,pt POR,FW MF,Monaco,22,1993,2,1,98,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Edinson Cavani,uy URU,FW MF,Paris S-G,29,1987,36,35,2 965,32.9,35,4,39,28,7,8,5,0,01.juin,0.12,janv.18,0.85,0.97
Dimitri Cavaré,fr FRA,DF,Rennes,21,1995,2,1,106,01.févr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Julien Cétout,fr FRA,DF MF,Nancy,28,1988,28,27,2 332,25.sept,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12
Fouad Chafik,ma MAR,DF MF,Dijon,29,1986,27,27,2 395,26.juin,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04
Kwon Chang-hoon,kr KOR,FW MF,Dijon,22,1994,8,2,224,02.mai,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Clément Chantôme,fr FRA,MF,Rennes,28,1987,7,6,336,03.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Paul Charruau,fr FRA,GK,Bastia,23,1993,1,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sergei Chernik,by BLR,GK,Nancy,28,1988,17,15,1 377,15.mars,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michaël Chrétien,ma MAR,DF,Nancy,32,1984,13,13,1 124,12.mai,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Michaël Ciani,fr FRA,DF,Lorient,32,1984,25,25,2 167,24.janv,3,0,3,3,0,0,5,0,0.12,0.00,0.12,0.12,0.12
Gilles Cioni,fr FRA,DF,Bastia,32,1984,25,23,2 064,22.sept,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Issa Cissokho,sn SEN,DF,Angers,31,1985,13,13,1 158,12.sept,0,2,2,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16
Renato Civelli,ar ARG,DF,Lille,32,1983,13,12,1 098,12.févr,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08
Jérémy Clément,fr FRA,MF,Saint-Étienne,31,1984,5,3,335,03.juil,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcus Coco,fr FRA,DF FW,Guingamp,20,1996,34,31,2 612,29.0,4,2,6,4,0,0,6,0,0.14,0.07,0.21,0.14,0.21
Renaud Cohade,fr FRA,MF,Metz,31,1984,33,32,2 782,30.sept,1,4,5,1,0,0,11,1,0.03,0.13,0.16,0.03,0.16
Daniel Congré,fr FRA,DF,Montpellier,31,1985,24,21,1 815,20.févr,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05
Diego Contento,de GER,DF,Bordeaux,26,1990,25,24,2 103,23.avr,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04
Sébastien Corchia,fr FRA,DF MF,Lille,25,1990,38,38,3 416,38.0,1,1,2,1,0,0,4,0,0.03,0.03,0.05,0.03,0.05
Benjamin Corgnet,fr FRA,MF,Saint-Étienne,29,1987,10,3,397,04.avr,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23
Maxwel Cornet,ci CIV,DF FW,Lyon,19,1996,33,19,1 899,21.janv,6,2,8,6,0,0,1,0,0.28,0.09,0.38,0.28,0.38
Benoît Costil,fr FRA,GK,Rennes,29,1987,38,38,3 42,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Karim Coulibaly,fr FRA,MF,Nancy,23,1993,9,6,560,06.févr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lassana Coulibaly,ml MLI,FW MF,Bastia,20,1996,30,25,2 277,25.mars,0,2,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08
Enzo Crivelli,fr FRA,FW,Bastia,21,1995,24,24,2 073,23.0,10,1,11,10,0,1,8,1,0.43,0.04,0.48,0.43,0.48
Joffrey Cuffaut,fr FRA,DF,Nancy,28,1988,30,29,2 568,28.mai,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07
Wylan Cyprien,fr FRA,MF,Nice,21,1995,29,27,2 431,27.0,8,3,11,8,0,0,2,0,0.30,0.11,0.41,0.30,0.41
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Damien Da Silva,fr FRA,DF MF,Caen,28,1988,36,36,3 167,35.2,0,2,2,0,0,0,5,2,0.00,0.06,0.06,0.00,0.06
Bryan Dabo,bf BFA,MF,Saint-Étienne,24,1992,14,8,643,07.janv,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Mouhamadou Dabo,fr FRA,DF,Caen,29,1986,2,2,146,01.juin,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Maurice Dalé,fr FRA,FW,Nancy,31,1985,25,16,1 462,16.févr,3,4,7,3,0,0,1,0,0.18,0.25,0.43,0.18,0.43
Gaël Danic,fr FRA,MF,Bastia,34,1981,29,19,1 843,20.mai,4,3,7,4,0,0,9,1,0.20,0.15,0.34,0.20,0.34
Dante,br BRA,DF,Nice,32,1983,33,33,2 97,33.0,0,3,3,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09
Romain Danzé,fr FRA,DF MF,Rennes,30,1986,35,34,3 092,34.4,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06
Sergi Darder,es ESP,MF,Lyon,22,1993,23,15,1 414,15.juil,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19
Nill De Pauw,cd COD,FW MF,Guingamp,26,1990,28,3,761,08.mai,4,2,6,4,0,0,1,0,0.47,0.24,0.71,0.47,0.71
Morgan De Sanctis,it ITA,GK,Monaco,39,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Deaux,fr FRA,MF,Guingamp,27,1988,38,35,3 075,34.2,2,5,7,2,0,0,4,0,0.06,0.15,0.20,0.06,0.20
Jonathan Delaplace,fr FRA,DF MF,Caen,30,1986,33,31,2 637,29.mars,0,4,4,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14
Paul Delecroix,fr FRA,GK,Lorient,27,1988,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Andy Delort,dz ALG,FW,Toulouse,24,1991,15,15,1 218,13.mai,5,1,6,4,1,2,0,0,0.37,0.07,0.44,0.30,0.37
Quentin Depehi,fr FRA,FW,Toulouse,19,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mathieu Deplagne,fr FRA,DF,Montpellier,24,1991,19,14,1 125,12.mai,0,1,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08
Ángel Di María,ar ARG,FW MF,Paris S-G,28,1988,29,24,2 036,22.juin,6,7,13,6,0,0,1,1,0.27,0.31,0.57,0.27,0.57
Issiar Dia,sn SEN,FW MF,Nancy,29,1987,31,22,2,22.févr,8,3,11,7,1,1,3,0,0.36,0.14,0.50,0.32,0.45
Cheick Diabaté,ml MLI,FW,Metz,28,1988,14,12,1 055,11.juil,8,1,9,5,3,3,2,0,0.68,0.09,0.77,0.43,0.51
Abou Diaby,fr FRA,MF,Marseille,30,1986,2,2,128,01.avr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Fallou Diagne,sn SEN,DF,Metz,26,1989,12,12,999,11.janv,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Modou Diagne,sn SEN,DF,Nancy,22,1994,22,21,1 846,20.mai,1,0,1,1,0,0,1,1,0.05,0.00,0.05,0.05,0.05
Adama Diakhaby,fr FRA,FW MF,Rennes,20,1996,25,3,728,08.janv,4,0,4,3,1,1,2,0,0.49,0.00,0.49,0.37,0.37
Mouctar Diakhaby,gn GUI,DF,Lyon,19,1996,22,22,1 929,21.avr,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05
Abdou Diallo,sn SEN,DF,Monaco,20,1996,5,4,388,04.mars,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Habib Diallo,sn SEN,FW,Metz,21,1995,19,7,832,09.févr,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22
Mustapha Diallo,sn SEN,FW MF,Guingamp,30,1986,26,22,1 744,19.avr,5,1,6,5,0,0,9,1,0.26,0.05,0.31,0.26,0.31
Sadio Diallo,gn GUI,FW MF,Bastia,25,1990,28,20,1 417,15.juil,3,3,6,3,0,0,3,0,0.19,0.19,0.38,0.19,0.38
Alou Diarra,fr FRA,MF,Nancy,35,1981,18,16,1 291,14.mars,2,0,2,2,0,0,7,0,0.14,0.00,0.14,0.14,0.14
Lassana Diarra,fr FRA,MF,Marseille,31,1985,11,8,729,08.janv,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Thomas Didillon,fr FRA,GK,Metz,20,1995,32,32,2 88,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Étienne Didot,fr FRA,MF,Guingamp,33,1983,28,26,2 139,23.août,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08
Famara Diedhiou,sn SEN,FW,Angers,23,1992,31,28,2 27,25.févr,8,1,9,7,1,2,6,0,0.32,0.04,0.36,0.28,0.32
Ismaël Diomandé,ci CIV,MF,Caen,23,1992,12,7,792,08.août,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Lois Diony,fr FRA,FW,Dijon,23,1992,35,31,2 807,31.2,11,7,18,11,0,0,2,1,0.35,0.22,0.58,0.35,0.58
Issa Diop,fr FRA,DF,Toulouse,19,1997,30,30,2 7,30.0,2,1,3,2,0,0,9,0,0.07,0.03,0.10,0.07,0.10
Nabil Dirar,ma MAR,DF MF,Monaco,30,1986,18,8,876,09.juil,1,3,4,1,0,0,2,0,0.10,0.31,0.41,0.10,0.41
Koffi Djidji,ci CIV,DF,Nantes,23,1992,28,28,2 491,27.juil,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Alexander Djiku,gh GHA,DF MF,Bastia,21,1994,23,21,1 85,20.juin,1,0,1,1,0,0,2,2,0.05,0.00,0.05,0.05,0.05
Keagan Dolly,za RSA,FW MF,Montpellier,23,1993,12,5,448,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Anastasios Donis,gr GRE,FW MF,Nice,19,1996,18,3,455,05.janv,5,1,6,5,0,0,1,0,0.99,0.20,janv.19,0.99,janv.19
Férébory Doré,cg CGO,FW,Angers,27,1989,9,1,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dória,br BRA,DF,Marseille,21,1994,23,14,1 372,15.févr,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07
Cheick Doukouré,ci CIV,MF,Metz,23,1992,29,27,2 256,25.janv,0,1,1,0,0,0,8,2,0.00,0.04,0.04,0.00,0.04
