Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
,25,Portugal,Attacking Midfield,35000000,Olympique Lyon,42950000.0,premier_league_2022.csv,Premier League,,Lucas Paquetá
,23,Italy,Centre-Forward,30000000,US Sassuolo,38600000.0,premier_league_2022.csv,Premier League,,Gianluca Scamacca
,25,France,Left Winger,15000000,Burnley FC,20700000.0,premier_league_2022.csv,Premier League,,Maxwel Cornet
,25,Portugal,Left Winger,40000000,Valencia CF,32600000.0,premier_league_2022.csv,Premier League,,Gonçalo Guedes
,21,Brazil,Central Midfield,15000000,CR Flamengo,18700000.0,premier_league_2022.csv,Premier League,,João Gomes
,25,Austria,Centre-Forward,25000000,VfB Stuttgart,18000000.0,premier_league_2022.csv,Premier League,,Sasa Kalajdzic
,26,Korea South,Centre-Forward,16000000,RB Leipzig,16700000.0,premier_league_2022.csv,Premier League,,Hee-chan Hwang
Thomas Delaney,26,Denmark,Central Midfield,12000000,Werder Bremen,20000000.0,Bundesliga_2018.csv,Bundesliga,Borussia Dortmund,
Paulinho,18,Brazil,Left Winger,25000000,Vasco da Gama,18500000.0,Bundesliga_2018.csv,Bundesliga,Bayer Leverkusen,
Amadou Haidara,20,Mali,Central Midfield,20000000,Red Bull Salzburg,19000000.0,Bundesliga_2018.csv,Bundesliga,RB Leipzig,
Matheus Cunha,19,Brazil,Second Striker,1500000,FC Sion,15000000.0,Bundesliga_2018.csv,Bundesliga,RB Leipzig,
Alassane Pléa,25,France,Centre-Forward,18000000,OGC Nice,23000000.0,Bundesliga_2018.csv,Bundesliga,Borussia Mönchengladbach,
Leonardo Bittencourt,24,Germany,Central Midfield,6000000,1.FC Köln,6000000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,
Ishak Belfodil,26,Algeria,Centre-Forward,5500000,Standard Liège,5500000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,
Vincenzo Grifo,25,Italy,Left Winger,7500000,Borussia Mönchengladbach,5500000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,
Nico González,20,Argentina,Left Winger,5000000,Argentinos Juniors,11260000.0,Bundesliga_2018.csv,Bundesliga,VfB Stuttgart,
Gonzalo Castro,31,Germany,Central Midfield,8000000,Borussia Dortmund,5000000.0,Bundesliga_2018.csv,Bundesliga,VfB Stuttgart,
Davy Klaassen,25,Netherlands,Central Midfield,15000000,Everton,13500000.0,Bundesliga_2018.csv,Bundesliga,SV Werder Bremen,
Jean-Philippe Mateta,21,France,Centre-Forward,2500000,Olympique Lyon,8000000.0,Bundesliga_2018.csv,Bundesliga,1.FSV Mainz 05,
Pierre Kunde,22,Cameroon,Central Midfield,2000000,Atlético Madrid B,7500000.0,Bundesliga_2018.csv,Bundesliga,1.FSV Mainz 05,
Wout Weghorst,25,Netherlands,Centre-Forward,7000000,AZ Alkmaar,10500000.0,Bundesliga_2018.csv,Bundesliga,VfL Wolfsburg,
Daniel Ginczek,27,Germany,Centre-Forward,3500000,VfB Stuttgart,10000000.0,Bundesliga_2018.csv,Bundesliga,VfL Wolfsburg,
Suat Serdar,21,Germany,Central Midfield,7500000,1.FSV Mainz 05,11000000.0,Bundesliga_2018.csv,Bundesliga,FC Schalke 04,
Rabbi Matondo,18,Wales,Right Winger,0,Manchester City U23,9000000.0,Bundesliga_2018.csv,Bundesliga,FC Schalke 04,
Corentin Tolisso,22,France,Central Midfield,22000000,Olympique Lyon,41500000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,
Andriy Yarmolenko,27,Ukraine,Right Winger,18000000,Dynamo Kyiv,25000000.0,Bundesliga_2017.csv,Bundesliga,Borussia Dortmund,
Jadon Sancho,17,England,Left Winger,5000000,Manchester City U18,20590000.0,Bundesliga_2017.csv,Bundesliga,Borussia Dortmund,
Maximilian Philipp,23,Germany,Second Striker,15000000,SC Freiburg,20000000.0,Bundesliga_2017.csv,Bundesliga,Borussia Dortmund,
Kingsley Coman,21,France,Left Winger,20000000,Juventus,21000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,
Sandro Wagner,30,Germany,Centre-Forward,9000000,TSG Hoffenheim,13000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,
Jean-Kévin Augustin,20,France,Centre-Forward,3000000,Paris Saint-Germain,16000000.0,Bundesliga_2017.csv,Bundesliga,RB Leipzig,
Bruma,22,Portugal,Left Winger,11000000,Galatasaray,15000000.0,Bundesliga_2017.csv,Bundesliga,RB Leipzig,
Jhon Córdoba,24,Colombia,Centre-Forward,7000000,1.FSV Mainz 05,17000000.0,Bundesliga_2017.csv,Bundesliga,1.FC Köln,
Sébastien Haller,23,France,Centre-Forward,8000000,FC Utrecht,12000000.0,Bundesliga_2017.csv,Bundesliga,Eintracht Frankfurt,
Yevgen Konoplyanka,27,Ukraine,Left Winger,10000000,Sevilla FC,12500000.0,Bundesliga_2017.csv,Bundesliga,FC Schalke 04,
Amine Harit,20,Morocco,Attacking Midfield,2000000,FC Nantes,8000000.0,Bundesliga_2017.csv,Bundesliga,FC Schalke 04,
Serge Gnabry,21,Germany,Second Striker,15000000,SV Werder Bremen,8000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,
Milot Rashica,21,Kosovo,Right Winger,5000000,Vitesse Arnhem,8100000.0,Bundesliga_2017.csv,Bundesliga,SV Werder Bremen,
Lucas Alario,24,Argentina,Centre-Forward,12000000,River Plate,19000000.0,Bundesliga_2017.csv,Bundesliga,Bayer Leverkusen,
Landry Dimata,19,Belgium,Centre-Forward,6500000,KV Oostende,11500000.0,Bundesliga_2017.csv,Bundesliga,VfL Wolfsburg,
Admir Mehmedi,26,Switzerland,Second Striker,3500000,Bayer Leverkusen,8000000.0,Bundesliga_2017.csv,Bundesliga,VfL Wolfsburg,
Chadrac Akolo,22,DR Congo,Centre-Forward,2500000,FC Sion,6000000.0,Bundesliga_2017.csv,Bundesliga,VfB Stuttgart,
Michael Gregoritsch,23,Austria,Centre-Forward,3500000,Hamburger SV,5500000.0,Bundesliga_2017.csv,Bundesliga,FC Augsburg,
Jude Bellingham,20,England,Attacking Midfield,120000000,Dortmund,127000000.0,La_Liga_2023.csv,La Liga,,
Arda Güler,18,Turkey,Attacking Midfield,15000000,Fenerbahçe,26000000.0,La_Liga_2023.csv,La Liga,,
Vitor Roque,18,Brazil,Centre-Forward,40000000,Athletico-PR,30000000.0,La_Liga_2023.csv,La Liga,,
Antoine Griezmann,32,France,Second Striker,25000000,Barcelona,22000000.0,La_Liga_2023.csv,La Liga,,
Anastasios Douvikas,24,Greece,Centre-Forward,9000000,Utrecht,12000000.0,La_Liga_2023.csv,La Liga,,
Luis Suárez,25,Colombia,Centre-Forward,8000000,Marseille,8000000.0,La_Liga_2023.csv,La Liga,,
Pablo Fornals,27,Spain,Central Midfield,17000000,West Ham,8000000.0,La_Liga_2023.csv,La Liga,,
Sergi Darder,29,Spain,Central Midfield,16000000,Espanyol,8000000.0,La_Liga_2023.csv,La Liga,,
Artem Dovbyk,26,Ukraine,Centre-Forward,15000000,SC Dnipro-1,7750000.0,La_Liga_2023.csv,La Liga,,
Cycle Larin,28,Canada,Centre-Forward,8000000,Real Valladolid,7500000.0,La_Liga_2023.csv,La Liga,,
