Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
Hugo Ekitiké,21,France,Centre-Forward,20000000,Stade Reims,28500000.0,Ligue_1_2023.csv,Ligue 1,,
Kang-in Lee,22,South Korea,Right Winger,22000000,RCD Mallorca,22000000.0,Ligue_1_2023.csv,Ligue 1,,
Elye Wahi,20,France,Centre-Forward,35000000,Montpellier HSC,30000000.0,Ligue_1_2023.csv,Ligue 1,,
Andy Diouf,20,France,Central Midfield,7000000,FC Basel,14000000.0,Ligue_1_2023.csv,Ligue 1,,
Angelo Fulgini,26,France,Attacking Midfield,9000000,Mainz 05,7200000.0,Ligue_1_2023.csv,Ligue 1,,
Iliman Ndiaye,23,Senegal,Right Winger,18000000,Sheffield United,17000000.0,Ligue_1_2023.csv,Ligue 1,,
Ismaïla Sarr,25,Senegal,Right Winger,20000000,Watford,13000000.0,Ligue_1_2023.csv,Ligue 1,,
Ruslan Malinovskyi,30,Ukraine,Attacking Midfield,15000000,Atalanta,10000000.0,Ligue_1_2023.csv,Ligue 1,,
Faris Moumbagne,23,Cameroon,Centre-Forward,7000000,Bodø/Glimt,8000000.0,Ligue_1_2023.csv,Ligue 1,,
Amine Harit,26,Morocco,Attacking Midfield,12000000,Schalke 04,5000000.0,Ligue_1_2023.csv,Ligue 1,,
Folarin Balogun,22,United States,Centre-Forward,30000000,Arsenal,30000000.0,Ligue_1_2023.csv,Ligue 1,,
Enzo Le Fée,23,France,Central Midfield,20000000,FC Lorient,20000000.0,Ligue_1_2023.csv,Ligue 1,,
Fabian Rieder,21,Switzerland,Attacking Midfield,15000000,Young Boys,15000000.0,Ligue_1_2023.csv,Ligue 1,,
Ludovic Blas,25,France,Right Winger,20000000,FC Nantes,15000000.0,Ligue_1_2023.csv,Ligue 1,,
Bertuğ Yıldırım,21,Turkey,Centre-Forward,2700000,Hatayspor,5400000.0,Ligue_1_2023.csv,Ligue 1,,
Hákon Arnar Haraldsson,20,Iceland,Attacking Midfield,6000000,FC Copenhagen,15000000.0,Ligue_1_2023.csv,Ligue 1,,
Malick Fofana,18,Belgium,Left Winger,8000000,KAA Gent,19500000.0,Ligue_1_2023.csv,Ligue 1,,
Gift Orban,21,Nigeria,Centre-Forward,15000000,KAA Gent,14000000.0,Ligue_1_2023.csv,Ligue 1,,
Terem Moffi,24,Nigeria,Centre-Forward,20000000,FC Lorient,22500000.0,Ligue_1_2023.csv,Ligue 1,,
Jérémie Boga,26,Cote d'Ivoire,Left Winger,14000000,Atalanta,17500000.0,Ligue_1_2023.csv,Ligue 1,,
Mohamed-Ali Cho,19,France,Right Winger,8000000,Real Sociedad,10000000.0,Ligue_1_2023.csv,Ligue 1,,
Mohamed Bamba,22,Cote d'Ivoire,Centre-Forward,1200000,Wolfsberger AC,5000000.0,Ligue_1_2023.csv,Ligue 1,,
Mohamed Daramy,21,Denmark,Left Winger,6000000,Ajax,12000000.0,Ligue_1_2023.csv,Ligue 1,,
Keith Nakamura,23,Japan,Left Winger,8000000,LASK,12000000.0,Ligue_1_2023.csv,Ligue 1,,
Teddy Teuma,29,Malta,Central Midfield,5000000,Union SG,5450000.0,Ligue_1_2023.csv,Ligue 1,,
Emmanuel Emegha,20,Netherlands,Centre-Forward,8000000,Sturm Graz,13000000.0,Ligue_1_2023.csv,Ligue 1,,
Dilane Bakwa,20,France,Right Winger,4000000,Bordeaux,10000000.0,Ligue_1_2023.csv,Ligue 1,,
Douglas Augusto,26,Brazil,Central Midfield,4500000,PAOK,6800000.0,Ligue_1_2023.csv,Ligue 1,,
Mostafa Mohamed,25,Egypt,Centre-Forward,6000000,Galatasaray,5750000.0,Ligue_1_2023.csv,Ligue 1,,
Andy Delort,31,Algeria,Centre-Forward,7000000,Nice,5000000.0,Ligue_1_2023.csv,Ligue 1,,
Adson,22,Brazil,Right Winger,6000000,Corinthians,5000000.0,Ligue_1_2023.csv,Ligue 1,,
